frame,t_s,patch_area,patch_delta_mean,patch_cx,patch_cy,roi_p1,roi_p10,roi_p90,roi_mean,star_patch_dist
39,39.0,2118,4.0172,132.77,341.29,1.0,1.0,13.0,7.441,353.836
7,7.0,1845,5.3986,481.7,399.57,1.0,2.0,9.0,5.841,311.983
41,41.0,1773,5.1514,139.66,328.02,1.0,2.0,10.0,7.162,1004.66
38,38.0,1766,4.0,130.89,360.65,1.0,1.0,12.0,7.427,951.015
35,35.0,1743,4.2794,286.7,345.85,1.0,1.0,11.0,7.198,722.198
18,18.0,1718,3.3522,429.28,393.82,2.0,2.0,8.0,5.467,177.189
49,49.0,1610,4.3711,485.67,395.17,1.0,2.0,9.0,6.267,1224.758
43,43.0,1327,4.6127,58.01,368.63,1.0,2.0,9.0,6.151,62.055
52,52.0,1290,4.5186,470.37,288.01,1.0,2.0,91.0,26.93,530.74
24,24.0,1281,4.3934,499.62,381.98,2.0,2.0,8.0,5.45,782.582
33,33.0,1281,5.4091,459.38,401.91,1.0,2.0,10.0,7.174,572.817
45,45.0,1256,4.4817,489.42,394.47,1.0,2.0,9.0,5.473,790.899
36,36.0,1252,5.0,294.76,338.59,1.0,1.0,11.0,7.134,169.816
60,60.0,1237,4.5477,487.74,288.79,1.0,2.0,124.0,36.204,857.441
46,46.0,1191,6.4832,497.3,403.42,1.0,2.0,9.0,5.282,425.1
50,50.0,1137,5.2916,502.71,374.78,1.0,2.0,9.0,6.389,885.949
56,56.0,1107,5.4426,484.36,292.75,1.0,3.0,92.0,28.976,1119.569
48,48.0,1088,4.3617,482.98,380.83,1.0,2.0,9.0,6.044,998.775
58,58.0,1077,5.234,489.61,290.59,2.0,3.0,100.0,30.477,389.478
67,67.0,1025,5.1551,498.07,379.79,1.0,2.0,9.0,5.647,391.601
